偏移	大小	类型	字符串
001afba3	18	A	analysisCoreBadEncoding:
001afbbc	0e	A	failWithError:
001afbcb	06	A	reason
001afbd2	1a	A	enumerateRangesUsingBlock:
001afbed	11	A	decodeBoolForKey:
001afbff	14	A	decodeIntegerForKey:
001afc14	17	A	numberWithUnsignedChar:
001afc2c	12	A	encodeBool:forKey:
001afc3f	15	A	encodeInteger:forKey:
001afc55	20	A	registerQueryCodingCapabilities:
001afc76	14	A	mutableCopyWithZone:
001afc8b	1e	A	setAcceptableValues:forColumn:
001afcaa	15	A	_registryForDebugging
001afcc0	21	A	replaceWithIntersectionWithQuery:
001afce2	09	A	setScope:
001afcec	16	A	setFullTextSearchSpec:
001afd03	10	A	_discreteFilters
001afd14	13	A	_debugCheckRegistry
001afd28	23	A	_trimRecordsStartingBeforeTimeRange
001afd4c	0e	A	_unsatisfiable
001afd5b	06	A	_scope
001afd62	13	A	_fullTextSearchSpec
001afd76	14	A	Tc,N,V_unsatisfiable
001afd8b	0c	A	TQ,N,V_scope
001afd98	13	A	T{XRTimeRange=QQ},N
001afdac	29	A	Tc,N,V_trimRecordsStartingBeforeTimeRange
001afdd6	3d	A	T@"XRAnalysisCoreFullTextSearchSpec",&,N,V_fullTextSearchSpec
001afe19	2a	A	T@"<XRAnalysisCoreQueryFrameAccessor>",R,N
001afe44	20	A	T@"XRAnalysisCoreTableQuery",R,N
001afe65	08	A	setCore:
001afe6e	09	A	setQuery:
001afe78	0b	A	setTableID:
001afe84	09	A	coreShell
001afe8e	08	A	_tableID
001afe97	05	A	_core
001afe9d	06	A	_query
001afea4	2f	A	T@"<XRAnalysisCoreQueryFrameAccessor>",N,V_core
001afed4	26	A	T@"XRAnalysisCoreTableQuery",N,V_query
001afefb	0e	A	TI,N,V_tableID
001aff0a	13	A	initWithSignatures:
001aff1e	07	A	isEmpty
001aff26	0f	A	addValueObject:
001aff36	18	A	setRegistryForDebugging:
001aff4f	0b	A	_signatures
001aff5b	1d	A	T@,W,N,V_registryForDebugging
001aff79	1a	A	areTokensByColumnEqual:to:
001aff94	0f	A	_allTokensCount
001affa4	11	A	containsAnyTokens
001affb6	09	A	columnIDs
001affc0	0d	A	setColumnIDs:
001affce	06	A	tokens
001affd5	0a	A	setTokens:
001affe0	10	A	tokensByColumnID
001afff1	14	A	setTokensByColumnID:
001b0006	09	A	matchKind
001b0010	0d	A	setMatchKind:
001b001e	09	A	formatter
001b0028	0d	A	setFormatter:
001b0036	0a	A	_columnIDs
001b0041	07	A	_tokens
001b0049	11	A	_tokensByColumnID
001b005b	0a	A	_matchKind
001b0066	0a	A	_formatter
001b0071	1e	A	T@"NSIndexSet",C,N,V_columnIDs
001b0090	18	A	T@"NSArray",C,N,V_tokens
001b00a9	2f	A	T@"XRIntKeyedDictionary",&,N,V_tokensByColumnID
001b00d9	06	A	Tc,R,N
001b00e0	10	A	TQ,N,V_matchKind
001b00f1	1f	A	T@"NSFormatter",&,N,V_formatter
001b0111	14	A	initWithToken:index:
001b0126	06	A	_token
001b012d	1d	A	setObject:atIndexedSubscript:
001b014b	1e	A	arrayByAddingObjectsFromArray:
001b016a	15	A	stringForObjectValue:
001b0180	27	A	localizedCaseInsensitiveContainsString:
001b01a8	0c	A	integerValue
001b01b5	09	A	implClass
001b01bf	17	A	setArgumentIndex:value:
001b01d7	24	A	faultTextSymbol:usingCursor:andCore:
001b01fc	0f	A	initWithLength:
001b020c	0c	A	mutableBytes
001b0219	11	A	lastSeenTimestamp
001b022b	09	A	setCache:
001b0235	12	A	_importRow:cursor:
001b0248	0e	A	tableRowMapped
001b0257	0d	A	_mapTableDef:
001b0265	06	A	_reset
001b026c	10	A	findEventHorizon
001b027d	0c	A	addImporter:
001b028a	1b	A	importData:length:bindings:
001b02a6	16	A	machAbsoluteTimeOffset
001b02bd	1a	A	setMachAbsoluteTimeOffset:
001b02d8	18	A	machContinuousTimeOffset
001b02f1	1c	A	setMachContinuousTimeOffset:
001b030e	0c	A	machTimeBase
001b031b	10	A	setMachTimeBase:
001b032c	0a	A	_tableRows
001b0337	08	A	_decoder
001b0340	06	A	_stack
001b0347	13	A	_importerByTableDef
001b035b	0a	A	_importers
001b0366	06	A	_cache
001b036d	17	A	_machAbsoluteTimeOffset
001b0385	19	A	_machContinuousTimeOffset
001b039f	0d	A	_machTimeBase
001b03ad	1d	A	TQ,N,V_machAbsoluteTimeOffset
001b03cb	1f	A	TQ,N,V_machContinuousTimeOffset
001b03eb	29	A	T{mach_timebase_info=II},N,V_machTimeBase
001b0415	1a	A	speculativeStoreForWriting
001b0430	18	A	initWithArray:copyItems:
001b0449	0d	A	setExtension:
001b0457	12	A	refreshPivotArray:
001b046a	1c	A	changeSortDescriptors:array:
001b0487	0f	A	_beginOfExposed
001b0497	0d	A	_endOfExposed
001b04a5	06	A	_clear
001b04ac	10	A	arrayWithObject:
001b04bd	14	A	removeObjectAtIndex:
001b04d2	0c	A	_loadContent
001b04df	1c	A	initWithStore:tableID:array:
001b04fc	17	A	primaryDurationColumnID
001b0514	21	A	initWithRowArray:sortDescriptors:
001b0536	07	A	refresh
001b053e	16	A	changeSortDescriptors:
001b0555	13	A	includesSpeculation
001b0569	07	A	access:
001b0571	16	A	pushOwningUpdateAgent:
001b0588	14	A	popOwningUpdateAgent
001b059d	19	A	_totalWorkUnitsForSorting
001b05b7	44	A	_exposeUsingPrimarySortFunction:timeSortFunction:progress:yieldFlag:
001b05fc	43	A	_purgeUsingPrimarySortFunction:timeSortFunction:progress:yieldFlag:
001b0640	0d	A	_resetExposed
001b064e	1d	A	_signatureForIndex:dimension:
001b066c	1d	A	_indexForSignature:dimension:
001b068a	2a	A	_readRowsStartingAt:dimension:store:block:
001b06b5	39	A	_rowInDimension:closestToTime:timeToRowPositioning:store:
001b06ef	0b	A	descriptors
001b06fb	0f	A	setDescriptors:
001b070b	08	A	_content
001b0714	0b	A	_agentQueue
001b0720	07	A	_source
001b0728	0c	A	_descriptors
001b0735	27	A	T@"XRAnalysisCoreRowArray",R,N,V_source
001b075d	1d	A	T@"NSArray",&,N,V_descriptors
001b077b	0a	A	firstIndex
001b0786	23	A	readRowsStartingAt:dimension:block:
001b07aa	1c	A	signatureForIndex:dimension:
001b07c7	1c	A	indexForSignature:dimension:
001b07e4	32	A	rowInDimension:closestToTime:timeToRowPositioning:
001b0817	2b	A	enumerateRowIndexesFromSet:dimension:block:
001b0843	0b	A	_pivotArray
001b084f	0a	A	comparator
001b085a	13	A	clipsModelerFactory
001b086e	22	A	registerRulesURL:modelerClassName:
001b0891	1e	A	registerKnowledgeTemplatesURL:
001b08b0	1a	A	registerKnowledgeRulesURL:
001b08cb	27	A	registerExtraRulesURL:modelerClassName:
001b08f3	21	A	_importDTACContent:extensionName:
001b0915	34	A	enumerateDTACBundleContentWithOptions:subpath:block:
001b094a	18	A	stringByAppendingFormat:
001b0963	1d	A	stringByDeletingPathExtension
001b0981	0f	A	uppercaseString
001b0991	18	A	performDuringMinorFrame:
001b09aa	0b	A	setSubpath:
001b09b6	0b	A	setModeler:
001b09c2	0e	A	setParameters:
001b09d1	14	A	updateKnownSchemata:
001b09e6	10	A	modelerFactories
001b09f7	13	A	isFullyInstantiated
001b0a0b	1b	A	instanceModelersInSolution:
001b0a27	1d	A	strongToStrongObjectsMapTable
001b0a45	07	A	modeler
001b0a4d	0d	A	objectForKey:
001b0a5b	0a	A	tablesByID
001b0a66	0a	A	parameters
001b0a71	17	A	_realizeBindingSolution
001b0a89	12	A	targetEventHorizon
001b0a9c	16	A	setTargetEventHorizon:
001b0ab3	0b	A	setHorizon:
001b0abf	13	A	setBindingSolution:
001b0ad3	0e	A	initiateEngage
001b0ae2	0b	A	setEngaged:
001b0aee	16	A	_engageDuringActivity:
001b0b05	1c	A	scheduleActivityAsOperation:
001b0b22	15	A	disengageWithEndTime:
001b0b38	0e	A	accessContext:
001b0b47	1b	A	progressWithTotalUnitCount:
001b0b63	11	A	currentContextSet
001b0b75	06	A	sealed
001b0b7c	10	A	enterContextSet:
001b0b8d	10	A	leaveContextSet:
001b0b9e	35	A	initWithContext:bindingHemisphere:modelingHemisphere:
001b0bd4	14	A	validateWithOptions:
001b0be9	11	A	initiateDisengage
001b0bfb	17	A	setCurrentEventHorizon:
001b0c13	05	A	start
001b0c19	12	A	completedUnitCount
001b0c2c	15	A	modelingChunkProgress
001b0c42	11	A	fractionCompleted
001b0c54	09	A	isEngaged
001b0c5e	19	A	setModelingChunkProgress:
001b0c78	16	A	activateNextMajorFrame
001b0c8f	06	A	ticket
001b0c96	26	A	setAnalysisCoreConfigurationInfoPanel:
001b0cbd	05	A	hello
001b0cc3	07	A	goodbye
001b0ccb	13	A	scheduleInactivity:
001b0cdf	13	A	receiveMobileAgent:
001b0cf3	17	A	_setTargetEventHorizon:
001b0d0b	17	A	agentsWithHorizonTicket
001b0d23	1b	A	setAgentsWithHorizonTicket:
001b0d3f	07	A	horizon
001b0d47	1a	A	releaseAgentsBeforeHorizon
001b0d62	19	A	performOutsideMinorFrame:
001b0d7c	14	A	_establishesAffinity
001b0d91	14	A	resolvedTableWithID:
001b0da6	11	A	synchronousEngage
001b0db8	18	A	configurationPanelTicket
001b0dd1	1c	A	configurationInfoPanelTicket
001b0dee	0d	A	bootstrapCore
001b0dfc	0d	A	addExtension:
001b0e0a	12	A	moveCoreToSubpath:
001b0e1d	16	A	realizeBindingSolution
001b0e34	16	A	setEventHorizonTicket:
001b0e4b	06	A	engage
001b0e52	09	A	disengage
001b0e5c	0d	A	recoverBreach
001b0e6a	23	A	setTargetEventHorizonFromCoreShell:
001b0e8e	1f	A	_scheduleHorizonUpdateForAgent:
001b0eae	18	A	accessBindingHemisphere:
001b0ec7	19	A	accessModelingHemisphere:
001b0ee1	16	A	readBindingHemisphere:
001b0ef8	0e	A	readInnerCore:
001b0f07	13	A	_visitingPanelAgent
001b0f1b	11	A	_fullAccessTicket
001b0f2d	11	A	_readAccessTicket
001b0f3f	1a	A	_disengageProgressForYield
001b0f5a	1c	A	_checkDisengageStatusOnYield
001b0f77	1c	A	_needsAnotherFrameAfterYield
001b0f94	10	A	_heldBackAlready
001b0fa5	08	A	_horizon
001b0fae	0e	A	TQ,N,V_horizon
001b0fbd	22	A	setAnalysisCoreConfigurationPanel:
001b0fe0	0e	A	allocWithZone:
001b0fef	11	A	numberWithDouble:
001b1001	15	A	CLIPSLiteralFormatter
001b1017	11	A	numberFromString:
001b1029	0b	A	doubleValue
001b1035	0f	A	xr_getLongLong:
001b1045	05	A	bytes
001b104b	15	A	dataWithBytes:length:
001b1061	28	A	dataWithBytesNoCopy:length:freeWhenDone:
001b108a	14	A	_setArray:copyInput:
001b109f	10	A	getBytes:length:
001b10b0	0d	A	copyWithZone:
001b10be	05	A	value
001b10c4	19	A	setUInt64ArrayWithValues:
001b10de	18	A	setTypedArrayWithValues:
001b10f7	08	A	setData:
001b1100	08	A	_isValid
001b1109	06	A	_value
001b1110	05	A	_type
001b1116	0d	A	_copiedString
001b1124	0c	A	_copiedArray
001b1131	12	A	_typedArrayEntries
001b1144	0e	A	_typedArrayRef
001b1153	0d	A	_fixedDecimal
001b1161	0d	A	TC,R,N,V_type
001b116f	05	A	valid
001b1175	0f	A	Tc,R,N,GisValid
001b118a	10	A	T@"NSString",C,N
001b119b	16	A	T{XRUInt64Array=^QI},N
001b11b2	13	A	Td,N,V_fixedDecimal
001b11c6	2b	A	Tr^{XRTypedArray=^{XRTypedArrayEntry}I},R,N
001b11f2	16	A	_elementNameToClassMap
001b1209	1a	A	chooseAppendTableWithSpec:
001b1224	1c	A	reportFatalErrorWithElement:
001b1241	14	A	_elementNameToKVCMap
001b1256	0c	A	_handleStart
001b1263	0e	A	flushTableSpec
001b1272	11	A	_handleCompletion
001b1284	09	A	schemaRef
001b128e	0d	A	setSchemaRef:
001b129c	09	A	_didFocus
001b12a6	0a	A	_schemaRef
001b12b1	0b	A	_attributes
001b12bd	1c	A	T@"NSString",C,N,V_schemaRef
001b12da	28	A	T@"NSMutableDictionary",R,N,V_attributes
001b1303	0f	A	numberWithBool:
001b1313	13	A	numberWithLongLong:
001b1327	0b	A	setBoolean:
001b1333	0b	A	setInteger:
001b133f	08	A	setName:
001b1348	05	A	_name
001b134e	17	A	T@"NSString",C,N,V_name
001b1366	0b	A	elementName
001b1372	18	A	setValue:forElementName:
001b138b	06	A	_array
001b1392	1e	A	T@"NSMutableArray",R,N,V_array
001b13b1	1c	A	dictionaryWithObject:forKey:
001b13ce	0d	A	definedValues
001b13dc	0c	A	handleValue:
001b13e9	0d	A	appendString:
001b13f7	11	A	elementAttributes
001b1409	08	A	modeling
001b1412	08	A	registry
001b141b	24	A	initWithBase64EncodedString:options:
001b1440	12	A	_handleCharacters:
001b1453	0d	A	_signatureVec
001b1461	06	A	_accum
001b1468	0b	A	_typedArray
001b1474	06	A	_etype
001b147b	0a	A	setLength:
001b1486	25	A	replaceBytesInRange:withBytes:length:
001b14ac	09	A	createRow
001b14b6	10	A	setColumn:value:
001b14cb	07	A	setCol:
001b14d8	16	A	T@"NSString",C,N,V_col
001b14ef	14	A	columnIDForMnemonic:
001b1504	2c	A	analysisCoreXMLParsingErrorWithCode:problem:
001b1531	07	A	binding
001b1539	0b	A	setBinding:
001b1545	0c	A	setModeling:
001b1552	0f	A	_activeBindings
001b1562	07	A	_cursor
001b156a	07	A	_schema
001b1572	08	A	_binding
001b157b	09	A	_modeling
001b1585	0e	A	_definedValues
001b1594	31	A	T@"XRAnalysisCoreBindingHemisphere",&,N,V_binding
001b15c6	33	A	T@"XRAnalysisCoreModelingHemisphere",&,N,V_modeling
001b15fa	2b	A	T@"NSMutableDictionary",R,N,V_definedValues
001b1626	2d	A	initWithEngineeringType:storedValue:registry:
001b1654	15	A	initWithBytes:length:
001b166a	15	A	getStoredUInt64Array:
001b1680	0e	A	numberWithInt:
001b168f	17	A	caseInsensitiveCompare:
001b16a7	08	A	compare:
001b16b0	20	A	getTimeIntervalDetails:duration:
001b16d1	1c	A	getThreadNameDetails:thread:
001b16ee	4e	A	getURLSessionName:internalSessionID:backgroundIdentifier:isShared:isEphemeral:
001b173d	0a	A	UUIDString
001b1748	0e	A	indexOfObject:
001b1757	0c	A	systemLocale
001b1764	1d	A	compare:options:range:locale:
001b1782	0b	A	objectValue
001b178e	0f	A	hasSameValueAs:
001b179e	14	A	getValue:fieldIndex:
001b17b3	20	A	getLengthOfUint64Representation:
001b17d4	16	A	enumerateUint64Values:
001b17eb	17	A	engineeringTypeMnemonic
001b1803	18	A	uuidFromEngineeringValue
001b181c	17	A	enumerateKeyValuePairs:
001b1834	1d	A	enumerateTextBacktraceFrames:
001b1852	13	A	getPID:sessionUUID:
001b1866	0f	A	getTID:process:
001b1876	10	A	T@"NSString",R,N
001b1887	06	A	TS,R,N
001b188e	06	A	TC,R,N
001b1895	12	A	signedNumericValue
001b18a8	0b	A	threadState
001b18b4	1a	A	narrativeEntrySignificance
001b18cf	1c	A	enumerateBacktraceFragments:
001b18ec	2d	A	getCoreProfileCallstack:pc:registers:process:
001b191a	0e	A	getThreadState
001b1929	18	A	getTextSymbolDetails:pc:
001b1942	0a	A	_implClass
001b194d	0c	A	_storedValue
001b195a	0d	A	_externalImpl
001b1968	10	A	_engineeringType
001b1979	18	A	TS,R,N,V_engineeringType
001b1992	12	A	TC,R,N,V_implClass
001b19a5	18	A	T(XRStoredValue=IQI),R,N
001b19be	29	A	engineeringTypeInformalMnemonicForTypeID:
001b19e8	0f	A	numberWithLong:
001b19f8	09	A	longValue
001b1a02	25	A	getBadRuleURL:line:column:diagnostic:
001b1a28	1a	A	analysisCoreErrorWithCode:
001b1a43	26	A	analysisCoreDTACComponentInvalidError:
001b1a6a	2c	A	analysisCoreFailureFindingAggregateFunction:
001b1a97	1b	A	analysisCoreCLIPSRuleError:
001b1ab3	1e	A	analysisCoreFatalModelerError:
001b1ad2	25	A	analysisCoreFailedToCreateValueError:
001b1af8	36	A	analysisCoreBadRulesErrorInURL:line:column:diagnostic:
001b1b2f	28	A	_formatNarrative:stringAsSignature:args:
001b1b58	10	A	initWithFactory:
001b1b69	24	A	signatureFromString:engineeringType:
001b1b8e	10	A	formatNarrative:
001b1b9f	24	A	formatNarrativeWithStringSignatures:
001b1bc4	08	A	_factory
001b1bcd	1b	A	_compiledNarrativesByFormat
001b1be9	0a	A	_stringMap
001b1bf4	0b	A	__tempValue
001b1c00	10	A	__tempStringImpl
001b1c11	14	A	__tempTypedArrayImpl
001b1c26	1e	A	initWithBytes:length:encoding:
001b1c45	3b	A	storageWithSchema:pathManager:subpath:spec:registry:sealed:
001b1c81	19	A	addEntriesFromDictionary:
001b1c9b	07	A	abandon
001b1ca3	23	A	initWithSpec:accessRights:delegate:
001b1cc7	29	A	getDebuggingRowCount:speculativeRowCount:
001b1cf1	19	A	announceUsedCapabilities:
001b1d0b	1a	A	numberWithUnsignedInteger:
001b1d26	05	A	seal:
001b1d2c	2e	A	enumerateKeysAndObjectsWithOptions:usingBlock:
001b1d5b	07	A	unseal:
001b1d63	13	A	tableManagerSubpath
001b1d77	0d	A	_storesBySpec
001b1d85	14	A	_invalidStoresBySpec
001b1d9a	0b	A	_tablesByID
001b1da6	0f	A	_latestStoreIdx
001b1db6	15	A	_nextAvailableTableID
001b1dcc	09	A	_delegate
001b1dd6	41	A	storageFromPathManager:subpath:spec:core:registry:issueResponder:
001b1e18	14	A	unsignedIntegerValue
001b1e32	12	A	_setupFieldsByName
001b1e45	4c	A	_initWithIdentifier:name:synopsis:eventClass:version:minSize:maxSize:fields:
001b1e92	11	A	initWithCapacity:
001b1ea4	17	A	initWithObjectsAndKeys:
001b1ebc	0d	A	encodeObject:
001b1eca	11	A	allowsKeyedCoding
001b1edc	0c	A	decodeObject
001b1ee9	3b	A	initWithIdentifier:name:synopsis:eventClass:version:fields:
001b1f25	44	A	initWithIdentifier:name:synopsis:eventClass:version:minSize:maxSize:
001b1f6a	0e	A	fieldWithName:
001b1f79	0d	A	substitutions
001b1f87	11	A	setSubstitutions:
001b1f99	0a	A	identifier
001b1fa4	0a	A	eventClass
001b1faf	0c	A	maxEventSize
001b1fbc	06	A	fields
001b1fc3	0e	A	isSizeVariable
001b1fd2	12	A	archivedProperties
001b1fe5	16	A	setArchivedProperties:
001b1ffc	0a	A	properties
001b2007	0b	A	_eventClass
001b2013	0d	A	_minEventSize
001b2021	0d	A	_maxEventSize
001b202f	08	A	_version
001b2038	0d	A	_variableSize
001b2046	09	A	_synopsis
001b2050	0b	A	_identifier
001b205c	07	A	_fields
001b2064	0d	A	_fieldsByName
001b2072	06	A	_props
001b2079	0c	A	_publicProps
001b2086	0e	A	_substitutions
001b2095	1c	A	T@"NSDictionary",C,N,V_props
001b20b2	1b	A	T@"NSString",R,V_identifier
001b20ce	15	A	T@"NSString",R,V_name
001b20e4	0e	A	TI,R,V_version
001b20f3	11	A	T#,R,V_eventClass
001b2105	13	A	TI,R,V_maxEventSize
001b2119	13	A	Tc,R,V_variableSize
001b212d	16	A	T@"NSArray",R,V_fields
001b2144	27	A	T@"NSMutableDictionary",R,V_publicProps
001b216c	27	A	initWithKey:ascending:valueTransformer:
001b2194	30	A	initWithKey:ascending:selector:valueTransformer:
001b21c5	32	A	initWithKey:ascending:comparator:valueTransformer:
001b21f8	16	A	initWithKey:ascending:
001b220f	15	A	_setValueTransformer:
001b2225	1f	A	initWithKey:ascending:selector:
001b2245	21	A	initWithKey:ascending:comparator:
001b226b	09	A	ascending
001b2275	36	A	descriptorWithKey:ascending:selector:valueTransformer:
001b22ac	38	A	descriptorWithKey:ascending:comparator:valueTransformer:
001b22e5	10	A	valueForKeyPath:
001b22f6	11	A	transformedValue:
001b2308	2d	A	descriptorWithKey:ascending:valueTransformer:
001b2336	16	A	reversedSortDescriptor
001b234d	0f	A	valueForObject:
001b2361	1b	A	initWithKey:ascending:type:
001b237d	1c	A	initWithKey:ascending:block:
001b239a	0d	A	_setSortType:
001b23a8	22	A	descriptorWithKey:ascending:block:
001b23cb	21	A	descriptorWithKey:ascending:type:
001b23ed	0c	A	valueForKey:
001b23fa	16	A	numericValueForObject:
001b2411	09	A	_sortType
001b241b	0e	A	_valueSelector
001b242a	0a	A	_sortBlock
001b2435	1f	A	incrementRunningBulkLoaderCount
001b2455	1f	A	decrementRunningBulkLoaderCount
001b2475	16	A	runningBulkLoaderCount
001b248c	08	A	breached
001b2495	10	A	checkHeldQueries
001b24a6	14	A	setCheckHeldQueries:
001b24bb	10	A	setLoggingFlags:
001b24cc	0b	A	setPathMan:
001b24d8	19	A	requiredReadOnlySpecsByID
001b24f2	1d	A	setRequiredReadOnlySpecsByID:
001b2510	16	A	standardIssueResponder
001b2527	1a	A	setStandardIssueResponder:
001b2542	17	A	_runningBulkLoaderCount
001b255a	17	A	_needsOptimizationLatch
001b2572	14	A	_needsOptimizationCB
001b2587	08	A	_engaged
001b2590	09	A	_breached
001b259a	11	A	_checkHeldQueries
001b25ac	12	A	_needsOptimization
001b25bf	13	A	_targetEventHorizon
001b25d3	14	A	_currentEventHorizon
001b25e8	0d	A	_loggingFlags
001b25f6	17	A	_standardIssueResponder
001b260e	18	A	_agentsWithHorizonTicket
001b2627	19	A	TQ,N,V_targetEventHorizon
001b2641	1a	A	TQ,N,V_currentEventHorizon
001b265c	0e	A	Tc,N,V_engaged
001b266b	0d	A	Tc,N,V_sealed
001b2679	0f	A	Tc,N,V_breached
001b2689	17	A	Tc,N,V_checkHeldQueries
001b26a1	13	A	TQ,N,V_loggingFlags
001b26b5	1a	A	T@"NSString",C,N,V_subpath
001b26d0	2b	A	T@"XRAnalysisCorePathManager",&,N,V_pathMan
001b26fc	38	A	T@"XRIntKeyedDictionary",&,N,V_requiredReadOnlySpecsByID
001b2735	33	A	T@"<XRIssueResponder>",&,N,V_standardIssueResponder
001b2769	2e	A	T@"NSMutableSet",&,N,V_agentsWithHorizonTicket
001b2798	18	A	Tc,R,V_needsOptimization
001b27b1	19	A	initWithFormat:arguments:
001b27cb	0f	A	initWithString:
001b27db	17	A	appendAttributedString:
001b27f3	1e	A	extractColumnIDs:forMnemonics:
001b2817	0a	A	getOutput:
001b2822	19	A	_resolvedThreadSignatures
001b283c	0e	A	_inputBindings
001b284b	08	A	_columns
001b2854	15	A	_developerSetNameCols
001b286a	0b	A	_inputCount
001b2876	0e	A	_outputTableID
001b2885	18	A	_developerSetNameTableID
001b289e	0e	A	_boundToOutput
001b28ad	15	A	_outputTablePIDFilter
001b28c8	13	A	initWithUTF8String:
001b28dc	18	A	descriptionForImplClass:
001b28f5	2d	A	setArgumentIndex:storedValue:engineeringType:
001b2923	17	A	reserveLaneForCategory:
001b293b	27	A	closeLaneReservationForLaneID:category:
001b2963	31	A	initWithBytesNoCopy:length:encoding:freeWhenDone:
001b2995	11	A	bindingParameters
001b29a7	19	A	initWithCString:encoding:
001b29c1	13	A	_categoryStorageMap
001b29d5	10	A	modelerClassName
001b29e6	0f	A	isCLIPSModeler:
001b29f6	29	A	sortDescriptorWithKey:ascending:selector:
001b2a20	15	A	sortUsingDescriptors:
001b2a36	20	A	initWithNextResponder:prototype:
001b2a57	98	A	initWithModelingRulesURL:extraRulesURLs:modelerClassName:registry:configURL:knownKnowledgeURLs:knownKnowledgeTemplatesURLs:knownSchemata:issueResponder:
001b2af0	10	A	addTable:withID:
001b2b01	2a	A	instanceModelersInSolution:issueResponder:
